A	'ə
aalenià	ə ə l ə n i 'a
aaleniana	ə ə l ə n i 'a n ə
aalenianes	ə ə l ə n i 'a n ə s
aalenians	ə ə l ə n i 'a n s
Aaró	ə ə ɾ 'o
Aaron	ə ə ɾ 'o n
àbac	'a β ə k
abacà	ə β ə k 'a
abacàs	ə β ə k 'a s
abacial	ə β ə s i 'a l
abacials	ə β ə s i 'a l s
àbacs	'a β ə k s
abadejo	ə β ə ð 'ɛ ʒ u
abadessa	ə β ə ð 'ɛ s ə
abadia	ə β ə ð 'i ə
abadies	ə β ə ð 'i ə s
abadocar	ə β ə ð u k 'a
abaixa	ə β 'a ʃ ə
abaixà	ə β ə ʃ 'a
abaixada	ə β ə ʃ 'a ð ə
abaixades	ə β ə ʃ 'a ð ə s
abaixant	ə β ə ʃ 'a n
abaixar	ə β ə ʃ 'a
abaixarà	ə β ə ʃ ə ɾ 'a
abaixaran	ə β ə ʃ ə ɾ 'a n
abaixaràs	ə β ə ʃ ə ɾ 'a s
abaixaré	ə β ə ʃ ə ɾ 'e
abaixarem	ə β ə ʃ ə ɾ 'ɛ m
abaixàrem	ə β ə ʃ 'a ɾ ə m
abaixaren	ə β ə ʃ 'a ɾ ə n
abaixares	ə β ə ʃ 'a ɾ ə s
abaixareu	ə β ə ʃ ə ɾ 'ɛ w
abaixàreu	ə β ə ʃ 'a ɾ ə w
abaixaria	ə β ə ʃ ə ɾ 'i ə
abaixaríem	ə β ə ʃ ə ɾ 'i ə m
abaixarien	ə β ə ʃ ə ɾ 'i ə n
abaixaries	ə β ə ʃ ə ɾ 'i ə s
abaixaríeu	ə β ə ʃ ə ɾ 'i ə w
abaixat	ə β ə ʃ 'a t
abaixats	ə β ə ʃ 'a t s
abaixava	ə β ə ʃ 'a β ə
abaixàvem	ə β ə ʃ 'a β ə m
abaixaven	ə β ə ʃ 'a β ə n
abaixaves	ə β ə ʃ 'a β ə s
abaixàveu	ə β ə ʃ 'a β ə w
abaixem	ə β ə ʃ 'ɛ m
abaixen	ə β 'a ʃ ə n
abaixes	ə β 'a ʃ ə s
abaixés	ə β ə ʃ 'e s
abaixéssim	ə β ə ʃ 'e s i m
abaixéssiu	ə β ə ʃ 'e s i w
abaixeu	ə β ə ʃ 'ɛ w
abaixi	ə β 'a ʃ i
abaixí	ə β ə ʃ 'i
abaixin	ə β 'a ʃ i n
abaixis	ə β 'a ʃ i s
abaixo	ə β 'a ʃ u
abaltida	ə β ə l t 'i ð ə
abaltides	ə β ə l t 'i ð ə s
abaltir	ə β ə l t 'i
