a	ə
abadessa	ə β ə ð 'e s ə
abadia	ə β ə ð 'i ə
abadies	ə β ə ð 'i ə s
abaix	ə β 'a ʃ
abaixa	ə β 'a ʃ ə
abaixaho	ə β ə ʃ 'a o
abaixant	ə β ə ʃ 'a n t
abaixar	ə β ə ʃ 'a
abaixaria	ə β ə ʃ ə ɾ 'i ə
abaixarlo	ə β ə ʃ 'a ɾ l o
abaixarà	ə β ə ʃ ə ɾ 'a
abaixaràs	ə β ə ʃ ə ɾ 'a s
abaixaré	ə β ə ʃ ə ɾ 'e
abaixat	ə β ə ʃ 'a t
abaixen	ə β 'a ʃ ə n
abaixi	ə β 'a ʃ i
abaixo	ə β 'a ʃ o
abaixà	ə β ə ʃ 'a
abanderades	ə β ə n d ə ɾ 'a ð ə s
abanderar	ə β ə n d ə ɾ 'a
abanderat	ə β ə n d ə ɾ 'a t
abanderats	ə β ə n d ə ɾ 'a t s
abandona	ə β ə n d 'o n ə
abandonada	ə β ə n d o n 'a ð ə
abandonades	ə β ə n d o n 'a ð ə s
abandonament	ə β ə n d o n ə m 'e n t
abandonaments	ə β ə n d o n ə m 'e n s
abandonant	ə β ə n d o n 'a n t
abandonar	ə β ə n d o n 'a
abandonaran	ə β ə n d o n ə ɾ 'a n
abandonaria	ə β ə n d o n ə ɾ 'i ə
abandonarla	ə β ə n d o n 'a ɾ l ə
abandonarlo	ə β ə n d o n 'a ɾ l o
abandonarse	ə β ə n d o n 'a ɾ s ə
abandonarà	ə β ə n d o n ə ɾ 'a
abandonat	ə β ə n d o n 'a t
abandonats	ə β ə n d o n 'a t s
abandonava	ə β ə n d o n 'a v ə
abandonaven	ə β ə n d o n 'a v ə n
abandonem	ə β ə n d o n 'ə m
abandonen	ə β ə n d 'o n ə n
abandonessin	ə β ə n d o n 'e s i n
abandoni	ə β ə n d 'ɔ n i
abandonin	ə β ə n d 'ɔ n i n
abandono	ə β ə n d 'o n o
abandonà	ə β ə n d o n 'a
abandonés	ə β ə n d o n 'e s
abandó	ə β ə n d 'o
abans	ə β 'a n s
abansdahir	ə β ə n z ð ə 'i
abansde	ə β 'a n z ð ə
abansque	ə β 'a n s k ə
abarateix	ə β ə ɾ ə t 'ə ʃ
abarateixen	ə β ə ɾ ə t 'ə ʃ ə n
abarateixi	ə β ə ɾ ə t 'ə ʃ i
abarateixin	ə β ə ɾ ə t 'ə ʃ i n
abaratiment	ə β ə ɾ ə t i m 'e n t
