a	ə
abadessa	ə β ə ð 'ɛ s ə
abadia	ə β ə ð 'i ə
abadies	ə β ə ð 'i ə s
abaix	ə β 'a ʃ
abaixa	ə β 'a ʃ ə
abaixaho	ə β ə ʃ 'a u
abaixant	ə β ə ʃ 'a n
abaixar	ə β ə ʃ 'a
abaixaria	ə β ə ʃ ə ɾ 'i ə
abaixarlo	ə β ə ʃ 'a r l u
abaixarà	ə β ə ʃ ə ɾ 'a
abaixaràs	ə β ə ʃ ə ɾ 'a s
abaixaré	ə β ə ʃ ə ɾ 'e
abaixat	ə β ə ʃ 'a t
abaixen	ə β 'a ʃ ə n
abaixi	ə β 'a ʃ i
abaixo	ə β 'a ʃ u
abaixà	ə β ə ʃ 'a
abanderades	ə β ə n d ə ɾ 'a ð ə s
abanderar	ə β ə n d ə ɾ 'a
abanderat	ə β ə n d ə ɾ 'a t
abanderats	ə β ə n d ə ɾ 'a t s
abandona	ə β ə n d 'o n ə
abandonada	ə β ə n d u n 'a ð ə
abandonades	ə β ə n d u n 'a ð ə s
abandonament	ə β ə n d u n ə m 'e n
abandonaments	ə β ə n d u n ə m 'e n s
abandonant	ə β ə n d u n 'a n
abandonar	ə β ə n d u n 'a
abandonaran	ə β ə n d u n ə ɾ 'a n
abandonaria	ə β ə n d u n ə ɾ 'i ə
abandonarla	ə β ə n d u n 'a r l ə
abandonarlo	ə β ə n d u n 'a r l u
abandonarse	ə β ə n d u n 'a r s ə
abandonarà	ə β ə n d u n ə ɾ 'a
abandonat	ə β ə n d u n 'a t
abandonats	ə β ə n d u n 'a t s
abandonava	ə β ə n d u n 'a β ə
abandonaven	ə β ə n d u n 'a β ə n
abandonem	ə β ə n d u n 'ɛ m
abandonen	ə β ə n d 'o n ə n
abandonessin	ə β ə n d u n 'e s i n
abandoni	ə β ə n d 'o n i
abandonin	ə β ə n d 'o n i n
abandono	ə β ə n d 'o n u
abandonà	ə β ə n d u n 'a
abandonés	ə β ə n d u n 'e s
abandó	ə β ə n d 'o
abans	ə β 'a n s
abansdahir	ə β ə n z ð ə 'i
abansde	ə β 'a n z ð ə
abansque	ə β 'a n s k ə
abarateix	ə β ə ɾ ə t 'ɛ ʃ
abarateixen	ə β ə ɾ ə t 'ɛ ʃ ə n
abarateixi	ə β ə ɾ ə t 'ɛ ʃ i
abarateixin	ə β ə ɾ ə t 'ɛ ʃ i n
abaratiment	ə β ə ɾ ə t i m 'e n
abaratiments	ə β ə ɾ ə t i m 'e n s
abaratir	ə β ə ɾ ə t 'i
abaratirà	ə β ə ɾ ə t i ɾ 'a
abaratit	ə β ə ɾ ə t 'i t
abassegador	ə β ə s ə ɣ ə ð 'o
abassegadora	ə β ə s ə ɣ ə ð 'o ɾ ə
abast	ə β 'a s t
abasta	ə β 'a s t ə
abastable	ə β ə s t 'a b b l ə
abastament	ə β ə s t ə m 'e n
abastar	ə β ə s t 'a
abastarà	ə β ə s t ə ɾ 'a
abasten	ə β 'a s t ə n
abasti	ə β 'a s t i
