a	ə
abadessa	ə β ə ð 'ɛ s ə
abadia	ə β ə ð 'i ə
abadies	ə β ə ð 'i ə s
abaix	ə β 'a ʃ
abaixa	ə β 'a ʃ ə
abaixaho	ə β ə ʃ 'a u
abaixant	ə β ə ʃ 'a n
abaixaɾ	ə β ə ʃ 'a
abaixaɾia	ə β ə ʃ ə ɾ 'i ə
abaixaɾlo	ə β ə ʃ 'a r l u
abaixaɾà	ə β ə ʃ ə ɾ 'a
abaixaɾàs	ə β ə ʃ ə ɾ 'a s
abaixaɾé	ə β ə ʃ ə ɾ 'e
abaixat	ə β ə ʃ 'a t
abaixen	ə β 'a ʃ ə n
abaixi	ə β 'a ʃ i
abaixo	ə β 'a ʃ u
abaixà	ə β ə ʃ 'a
abandeɾades	ə β ə n d ə ɾ 'a ð ə s
abandeɾaɾ	ə β ə n d ə ɾ 'a
abandeɾat	ə β ə n d ə ɾ 'a t
abandeɾats	ə β ə n d ə ɾ 'a t s
abandona	ə β ə n d 'o n ə
abandonada	ə β ə n d u n 'a ð ə
abandonades	ə β ə n d u n 'a ð ə s
abandonament	ə β ə n d u n ə m 'e n
abandonaments	ə β ə n d u n ə m 'e n s
abandonant	ə β ə n d u n 'a n
abandonaɾ	ə β ə n d u n 'a
abandonaɾan	ə β ə n d u n ə ɾ 'a n
abandonaɾia	ə β ə n d u n ə ɾ 'i ə
abandonaɾla	ə β ə n d u n 'a r l ə
abandonaɾlo	ə β ə n d u n 'a r l u
abandonaɾse	ə β ə n d u n 'a r s ə
abandonaɾà	ə β ə n d u n ə ɾ 'a
abandonat	ə β ə n d u n 'a t
abandonats	ə β ə n d u n 'a t s
abandonava	ə β ə n d u n 'a β ə
abandonaven	ə β ə n d u n 'a β ə n
abandonem	ə β ə n d u n 'ɛ m
abandonen	ə β ə n d 'o n ə n
abandonessin	ə β ə n d u n 'e s i n
abandoni	ə β ə n d 'o n i
abandonin	ə β ə n d 'o n i n
abandono	ə β ə n d 'o n u
abandonà	ə β ə n d u n 'a
abandonés	ə β ə n d u n 'e s
abandó	ə β ə n d 'o
abans	ə β 'a n s
abansdahiɾ	ə β ə n z ð ə 'i
abansde	ə β 'a n z ð ə
abansque	ə β 'a n s k ə
abaɾateix	ə β ə ɾ ə t 'ɛ ʃ
abaɾateixen	ə β ə ɾ ə t 'ɛ ʃ ə n
abaɾateixi	ə β ə ɾ ə t 'ɛ ʃ i
abaɾateixin	ə β ə ɾ ə t 'ɛ ʃ i n
abaɾatiment	ə β ə ɾ ə t i m 'e n
abaɾatiments	ə β ə ɾ ə t i m 'e n s
abaɾatiɾ	ə β ə ɾ ə t 'i
abaɾatiɾà	ə β ə ɾ ə t i ɾ 'a
abaɾatit	ə β ə ɾ ə t 'i t
abassegadoɾ	ə β ə s ə ɣ ə ð 'o
abassegadoɾa	ə β ə s ə ɣ ə ð 'o ɾ ə
abast	ə β 'a s t
abasta	ə β 'a s t ə
abastable	ə β ə s t 'a b b l ə
abastament	ə β ə s t ə m 'e n
