big	b 'i tʃ
fig	f 'i tʃ
mig	m 'i tʃ
uig	'u tʃ  
Baig	b 'a tʃ
Caig	k 'a tʃ
Deig	d 'e tʃ
Faig	f 'a tʃ
Gaig	g 'a tʃ
Goig	g 'ɔ tʃ
Maig	m 'a tʃ
Puig	p 'u tʃ
Roig	r 'ɔ tʃ
afig	a f 'i tʃ
boig	b 'ɔ tʃ
duig	d 'u tʃ
faig	f 'a tʃ
fuig	f 'u tʃ
gaig	g 'a tʃ
goig	g 'ɔ tʃ
haig	'a tʃ
maig	m 'a tʃ
muig	m 'u tʃ
peig	p 'ɛ tʃ
puig	p 'u tʃ
raig	r 'a tʃ
Aluig	a l 'u tʃ
Càlig	k 'a l i tʃ
fenc	f 'e ŋ
penc	p 'e ŋ
tenc	t 'e ŋ
venc	b 'e ŋ
venç	b 'e ŋ
vénc	b 'e n s
zenc	z 'e ŋ
Llenç	ʎ 'e ŋ
agenç	a ʒ 'e ŋ
arenc	a ɾ 'e ŋ
asenc	a s 'e ŋ
atenc	a t 'e ŋ
avenc	a β 'e ŋ
avenç	a β 'e ŋ
brenc	b ɾ 'e ŋ
elenc	e l 'e ŋ
erenc	e ɾ 'e ŋ
llenç	ʎ 'e ŋ
obenc	o β 'e ŋ
ofenc	o f 'e ŋ
prenc	p ɾ 'e ŋ
tienc	t i 'e ŋ
trenc	t ɾ 'e ŋ
vienc	b i 'e ŋ
Cebenc	s e β 'e ŋ
Proenç	p ɾ o 'e ŋ
Pugenc	p u ʒ 'e ŋ
Solenc	s o l 'e ŋ
Vicenç	b i s 'e ŋ
acienç	a s i 'e ŋ
advenc	a d b 'e ŋ
agrenc	a ɣ ɾ 'e ŋ
albenc	a l β 'e ŋ
allenc	a ʎ 'e ŋ
alpenc	a l p 'e ŋ
alvenc	a l β 'e ŋ
anyenc	a ɲ 'e ŋ
aprenc	a p ɾ 'e ŋ
argenç	a r 'e ŋ
arrenc	a r 'e ŋ
aspenc	a s p 'e ŋ
aïnenc	a i n 'e ŋ
bagenc	b a ʒ 'e ŋ
barenc	b a ɾ 'e ŋ
basenc	b a s 'e ŋ
belenc	b e l 'e ŋ
botenc	b o t 'e ŋ
bouenc	b o u 'e ŋ
bovenc	b o β 'e ŋ
burenc	b u ɾ 'e ŋ
capenc	k a p 'e ŋ
començ	k o m 'e ŋ
cruenc	k ɾ u 'e ŋ
dasenc	d a s 'e ŋ
defenc	d e f 'e ŋ
depenc	d e p 'e ŋ
detenc	d e t 'e ŋ
einenc	e i n 'e ŋ
eldenc	ɛ l d 'e ŋ
encenc	a n s 'e ŋ
entenc	a n t 'e ŋ
espenc	a s p 'e ŋ
estenc	a s t 'e ŋ
eusenc	e u s 'e ŋ
expenc	e k s p 'e ŋ
ferenc	f e ɾ 'e ŋ
forenc	f o ɾ 'e ŋ
gerenc	dʒ e ɾ 'e ŋ
illenc	i ʎ 'e ŋ
janenc	dʒ a n 'e ŋ
josenc	dʒ o s 'e ŋ
magenc	m a ʒ 'e ŋ
mogenc	m o ʒ 'e ŋ
moienc	m o j 'e ŋ
morenc	m o ɾ 'e ŋ
