big	b 'i tʃ
fig	f 'i tʃ
mig	m 'i tʃ
uig	'u tʃ
Baig	b 'a tʃ
Caig	k 'a tʃ
Deig	d 'e tʃ
Faig	f 'a tʃ
Gaig	g 'a tʃ
Goig	g 'ɔ tʃ
Maig	m 'a tʃ
Puig	p 'u tʃ
Roig	r 'ɔ tʃ
afig	ə f 'i tʃ
amig	ə m 'i k
azig	ə z 'i tʃ
boig	b 'ɔ tʃ
duig	d 'u tʃ
faig	f 'a tʃ
frig	f ɾ 'i tʃ
fuig	f 'u tʃ
gaig	g 'a tʃ
goig	g 'ɔ tʃ}
haig	'a tʃ
maig	m 'a tʃ
muig	m 'u tʃ
peig	p 'e tʃ
puig	p 'u tʃ
raig	r 'a tʃ
reig	r 'e tʃ
roig	r 'ɔ tʃ
saig	s 'a tʃ
trig	t ɾ 'i tʃ
vaig	v 'a tʃ
veig	v 'e tʃ
Aluig	ə l 'u tʃ
Cloig	k l 'ɔ tʃ
Càlig	k 'a l i tʃ
Tírig	t 'i ɾ i tʃ
abrig	ə β ɾ 'i k
aleig	ə l 'e tʃ
Enpuig	ə n p 'u tʃ
Enveig	ə n v 'e tʃ
Escaig	ə s k 'a tʃ
Escrig	ə s k ɾ 'i k
Espuig	ə s p 'u tʃ
Ordeig	o ɾ ð 'e tʃ
faeneig	 f e ə n 'e tʃ
falceig	f ə l s 'e tʃ
faldeig	f ə l d 'e tʃ
falseig	f ə l s 'e tʃ
fatxeig	f ə tʃ 'e tʃ
febreig	f ə β ɾ 'e tʃ
fenòzig	f ə n 'ɔ z i k
ferreig	f ə r 'e tʃ
festeig	f ə s t 'e tʃ
flameig	f l ə m 'e tʃ
floreig	f l o ɾ ə 'i ə
fogueig	f o ɣ 'e ʃ
folleig	f o ʎ 'e tʃ
fondeig	f o n d 'e tʃ
forceig	f o ɾ s 'e tʃ
forneig	f o ɾ n 'e tʃ
fraseig	f ɾ ə s 'e tʃ
fredeig	f ɾ ə ð 'e tʃ
fueteig	f u ə t 'e tʃ
fulleig	f u ʎ 'e tʃ
fusteig	f u s t 'e tʃ
gabieig	g ə β i 'e tʃ
fenc	f 'ɛ ŋ
penc	p 'ɛ ŋ
tenc	t 'ɛ ŋ
venc	b 'ɛ ŋ
venç	b 'ɛ n s
vénc	b 'e ŋ
zenc	z 'ɛ ŋ
Llenç	ʎ 'ɛ n s
agenç	ə ʒ 'ɛ n s
arenc	ə ɾ 'ɛ ŋ
asenc	ə z 'ɛ ŋ
atenc	ə t 'ɛ ŋ
avenc	ə β 'ɛ ŋ
avenç	ə β 'ɛ n s
brenc	b ɾ 'ɛ ŋ
elenc	ə l 'ɛ ŋ
erenc	ə ɾ 'ɛ ŋ
llenç	ʎ 'ɛ n s
obenc	u β 'ɛ ŋ
ofenc	u f 'ɛ ŋ
prenc	p ɾ 'ɛ ŋ
tienc	t i 'ɛ ŋ
trenc	t ɾ 'ɛ ŋ
vienc	b i 'ɛ n s
Cebenc	s ə β 'ɛ ŋ
Proenç	p ɾ u 'ɛ n s
Pugenc	p u ʒ 'ɛ n s
