big	b 'i t ʃ
fig	f 'i k
mig	m 'i t ʃ
uig	'u t ʃ
Baig	b 'a t ʃ
Caig	k 'a t ʃ
Deig	d 'ɛ t ʃ
Faig	f 'a t ʃ
Gaig	g 'a t ʃ
Goig	g 'ɔ t ʃ
Maig	m 'a t ʃ
Puig	p 'u t ʃ
Roig	r 'ɔ t ʃ
afig	ə f 'i t ʃ
amig	ə m 'i t ʃ
boig	b 'ɔ t ʃ
brig	b ɾ 'i t ʃ
duig	d 'u t ʃ
faig	f 'a t ʃ
frig	f ɾ 'i t ʃ
fuig	f 'u t ʃ
gaig	g 'a t ʃ
goig	g 'ɔ t ʃ
haig	'a t ʃ
maig	m 'a t ʃ
muig	m 'u t ʃ
peig	p 'ɛ t ʃ
puig	p 'u t ʃ
raig	r 'a t ʃ
reig	r 'ɛ t ʃ
roig	r 'ɔ t ʃ
saig	s 'a t ʃ
trig	t ɾ 'i t ʃ
vaig	b 'a t ʃ
veig	b 'ɛ t ʃ
àzig	a z i k
Aluig	ə l 'u t ʃ
Cloig	k l u 'i t ʃ
Càlig	k 'a l i t ʃ
Molig	m u l 'i t ʃ 
Tírig	t 'i ɾ i t ʃ
abrig	ə β ɾ 'i k
aleig	ə l 'ɛ t ʃ
allig	ə ʎ 'i t ʃ
apuig	ə p 'u t ʃ
artig	ə r t 'i k
bolig	b u l 'i k
cueig	k u 'ɛ t ʃ
desig	d ə z 'i t ʃ
embig	ə m b 'i t ʃ
enfig	ə n f 'i k
enmig	ə n m 'i t ʃ
enuig	ə n 'u t ʃ
espig	ə s p 'i k
fatig	f ə t 'i k
fumig	f u m 'i k
fúlig	f 'u l i k
girig	ʒ i ɾ 'i t ʃ
graig	g ɾ 'a t ʃ
greig	g ɾ 'ɛ t ʃ
irrig	i r 'i t ʃ
levig	l ə β 'i t ʃ
litig	l i t 'i k
lleig	ʎ 'ɛ t ʃ
mitig	m i t 'i k
oblig	u β l 'i k
oneig	u n 'ɛ t ʃ
oreig	u ɾ 'ɛ t ʃ
ortig	u r t 'i k
pluig	p l 'u t ʃ
remig	r ə m 'i t ʃ
ràtig	r 'a t i k
tueig	t u 'ɛ t ʃ
Caroig	k ə ɾ u 'i t ʃ
Enpuig	ə n p 'u t ʃ
Enveig	ə m b 'ɛ t ʃ
Escaig	ə s k 'a t ʃ
Escrig	ə s k ɾ 'i t ʃ
Espuig	ə s p 'u t ʃ
Ordeig	u r t 'ɛ t ʃ
Orteig	u r t 'ɛ t ʃ
agreig	ə ɣ ɾ 'ɛ t ʃ
aireig	ə i ɾ 'a t ʃ
alleig	ə ʎ 'ɛ t ʃ
alteig	ə l t 'ɛ t ʃ
armeig	ə r m 'ɛ t ʃ
arpeig	ə r p 'ɛ t ʃ
assaig	ə s 'a t ʃ
baleig	b ə l 'ɛ t ʃ
barrig	b ə r 'i t ʃ
bateig	b ə t 'ɛ t ʃ
baveig	b ə β 'ɛ t ʃ
bogeig	b u ʒ 'ɛ t ʃ
bonyig	b u ɲ 'i k
boteig	b u t 'ɛ t ʃ
boueig	b u u 'ɛ t ʃ
boxeig	b u k s 'ɛ t ʃ
calcig	k ə l s 'i k
cameig	k ə m 'ɛ t ʃ
caneig	k ə n 'ɛ t ʃ
capeig	k ə p 'ɛ t ʃ
careig	k ə ɾ 'ɛ t ʃ
carmig	k ə r m 'i t ʃ
castig	k ə s t 'i k
cimeig	s i m 'ɛ t ʃ
cobeig	k u β 'ɛ t ʃ
copeig	k u p 'ɛ t ʃ
coreig	k u ɾ 'a t ʃ
coteig	k u t 'ɛ t ʃ
crueig	k ɾ u 'ɛ t ʃ
culeig	k u l 'ɛ t ʃ
càstig	k 'a s t i k
defuig	d ə f 'u t ʃ
deleig	d ə l 'ɛ t ʃ
deneig	d ə n 'ɛ t ʃ
diteig	d i t 'ɛ t ʃ
doneig	d u n 'ɛ t ʃ
enfuig	ə n f 'u t ʃ
enraig	ə n r 'a t ʃ
entrig	ə n t ɾ 'i t ʃ
enveig	ə m b 'ɛ t ʃ
escaig	ə s k 'a t ʃ
estoig	ə s t u 'i t ʃ
fadeig	f ə ð 'ɛ t ʃ
fameig	f ə m 'ɛ t ʃ
fastig	f ə s t 'i k
femeig	f ə m 'ɛ t ʃ
fereig	f ə ɾ 'ɛ t ʃ
fineig	f i n 'ɛ t ʃ
foreig	f u ɾ 'a t ʃ
fumeig	f u m 'ɛ t ʃ
fustig	f u s t 'i k
galeig	g ə l 'ɛ t ʃ
ganeig	g ə n 'ɛ t ʃ
garaig	g ə ɾ 'a t ʃ
gaseig	g ə z 'ɛ t ʃ
gateig	g ə t 'ɛ t ʃ
gaudig	g ə u ð 'i t ʃ
goleig	g u l 'ɛ t ʃ
goteig	g u t 'ɛ t ʃ
instig	i n s t 'i k
intrig	i n t ɾ 'i k
llorig	ʎ u ɾ 'i t ʃ
maleig	m ə l 'ɛ t ʃ
maneig	m ə n 'ɛ t ʃ
mareig	m ə ɾ 'ɛ t ʃ
meneig	m ə n 'ɛ t ʃ
moteig	m u t 'ɛ t ʃ
mustig	m u s t 'i k
napeig	n ə p 'ɛ t ʃ
neteig	n ə t 'ɛ t ʃ
noieig	n u i 'a t ʃ
ondeig	u n d 'ɛ t ʃ
ormeig	u r m 'ɛ t ʃ
orseig	u r s 'ɛ t ʃ
paleig	p ə l 'ɛ t ʃ
papeig	p ə p 'ɛ t ʃ
pemfig	p ə m f 'i k
pessig	p ə s 'i k
peteig	p ə t 'ɛ t ʃ
piteig	p i t 'ɛ t ʃ
poteig	p u t 'ɛ t ʃ
prodig	p ɾ u ð 'i t ʃ
pròdig	p ɾ 'ɔ ð i k
puteig	p u t 'ɛ t ʃ
pèmfig	p 'ɛ m f i k
rabeig	r ə β 'ɛ t ʃ
rameig	r ə m 'ɛ t ʃ
raneig	r ə n 'ɛ t ʃ
rapeig	r ə p 'ɛ t ʃ
rareig	r ə ɾ 'ɛ t ʃ
rateig	r ə t 'ɛ t ʃ
rebuig	r ə β 'u t ʃ
refaig	r ə f 'a t ʃ
refrig	r ə f ɾ 'i k
rellig	r ə ʎ 'i t ʃ
repuig	r ə p 'u t ʃ
reveig	r ə β 'ɛ t ʃ
rodeig	r u ð 'ɛ t ʃ
rogeig	r u ʒ 'ɛ t ʃ
romeig	r u m 'ɛ t ʃ
rufeig	r u f 'ɛ t ʃ
saleig	s ə l 'ɛ t ʃ
saneig	s ə n 'ɛ t ʃ
sedeig	s ə ð 'ɛ t ʃ
sofrig	s u f ɾ 'i t ʃ
soleig	s u l 'ɛ t ʃ
tapeig	t ə p 'ɛ t ʃ
tausig	t ə w z 'i t ʃ
tifeig	t i f 'ɛ t ʃ
toreig	t u ɾ 'a t ʃ
trapig	t ɾ ə p 'i t ʃ
trepig	t ɾ ə p 'i t ʃ
tufeig	t u f 'ɛ t ʃ
tuteig	t u t 'ɛ t ʃ
urpeig	u r p 'ɛ t ʃ
vaneig	b ə n 'ɛ t ʃ
vareig	b ə ɾ 'ɛ t ʃ
veleig	b ə l 'ɛ t ʃ
viebig	b i ə β 'i t ʃ
voreig	b u ɾ 'a t ʃ
Delpuig	d ə l p 'u t ʃ
Despuig	d ə s p 'u t ʃ
Masroig	m ə s u 'i t ʃ
Raspeig	r ə s p 'ɛ t ʃ
Raureig	r ə w ɾ 'ɛ t ʃ
abadeig	ə β ə ð 'ɛ t ʃ
aleteig	ə l ə t 'ɛ t ʃ
amoreig	ə m u ɾ 'a t ʃ
ampleig	ə m p l 'ɛ t ʃ
anqueig	ə ŋ k 'ɛ t ʃ
ansieig	ə n s i 'ɛ t ʃ
argueig	ə r ɣ 'ɛ t ʃ
arqueig	ə r k 'ɛ t ʃ
aspreig	ə s p ɾ 'ɛ t ʃ
bagueig	b ə ɣ 'ɛ t ʃ
baixeig	b ə ʃ 'ɛ t ʃ
balbeig	b ə l β 'ɛ t ʃ
bambeig	b ə m b 'ɛ t ʃ
bandeig	b ə n d 'ɛ t ʃ
barbeig	b ə r b 'ɛ t ʃ
barreig	b ə r 'ɛ t ʃ
basteig	b ə s t 'ɛ t ʃ
benveig	b ə m b 'ɛ t ʃ
blaneig	b l ə n 'ɛ t ʃ
blaveig	b l ə β 'ɛ t ʃ
bledeig	b l ə ð 'ɛ t ʃ
bombeig	b u m b 'ɛ t ʃ
boqueig	b u k 'ɛ t ʃ
bordeig	b u r t 'ɛ t ʃ
borneig	b u r n 'ɛ t ʃ
borreig	b u r 'ɛ t ʃ
braceig	b ɾ ə s 'ɛ t ʃ
braseig	b ɾ ə z 'ɛ t ʃ
braveig	b ɾ ə β 'ɛ t ʃ
bromeig	b ɾ u m 'ɛ t ʃ
bruteig	b ɾ u t 'ɛ t ʃ
busseig	b u s 'ɛ t ʃ
cableig	k ə β l 'ɛ t ʃ
cabreig	k ə β ɾ 'ɛ t ʃ
caireig	k ə i ɾ 'a t ʃ
calbeig	k ə l β 'ɛ t ʃ
caldeig	k ə l d 'ɛ t ʃ
campeig	k ə m p 'ɛ t ʃ
caqueig	k ə k 'ɛ t ʃ
carreig	k ə r 'ɛ t ʃ
carteig	k ə r t 'ɛ t ʃ
clapeig	k l ə p 'ɛ t ʃ
clareig	k l ə ɾ 'ɛ t ʃ
cobleig	k u β l 'ɛ t ʃ
coixeig	k u ʃ 'ɛ t ʃ
colleig	k u ʎ 'ɛ t ʃ
colpeig	k u l p 'ɛ t ʃ
col·lig	k u l 'i k
confuig	k u n f 'u t ʃ
conllig	k u n ʎ 'i k
cordeig	k u r t 'ɛ t ʃ
correig	k u r 'ɛ t ʃ
corteig	k u r t 'ɛ t ʃ
costeig	k u s t 'ɛ t ʃ
cucleig	k u k l 'ɛ t ʃ
cueteig	k u ə t 'ɛ t ʃ
cuineig	k u i n 'ɛ t ʃ
curteig	k u r t 'ɛ t ʃ
damneig	d ə m n 'ɛ t ʃ
desamig	d ə z ə m 'i k
desfaig	d ə s f 'a t ʃ
desllig	d ə z ʎ 'i k
dolceig	d u l s 'ɛ t ʃ
dolleig	d u ʎ 'ɛ t ʃ
dropeig	d ɾ u p 'ɛ t ʃ
embotig	ə m b u t 'i ɣ
empluig	ə m p l 'u t ʃ
endemig	ə n d ə m 'i t ʃ
esnarig	ə z n ə ɾ 'i t ʃ
faeneig	f ə ə n 'ɛ t ʃ
falceig	f ə l s 'ɛ t ʃ
faldeig	f ə l d 'ɛ t ʃ
falseig	f ə l s 'ɛ t ʃ
farroig	f ə r u 'i t ʃ
fatxeig	f ə t ʃ 'ɛ t ʃ
febreig	f ə β ɾ 'ɛ t ʃ
feineig	f ə i n 'ɛ t ʃ
fenòzig	f ə n 'ɔ z i k
ferreig	f ə r 'ɛ t ʃ
festeig	f ə s t 'ɛ t ʃ
flameig	f l ə m 'ɛ t ʃ
floreig	f l u ɾ 'a t ʃ
fogueig	f u ɣ 'ɛ t ʃ
folleig	f u ʎ 'ɛ t ʃ
fondeig	f u n d 'ɛ t ʃ
forceig	f u r s 'ɛ t ʃ
forneig	f u r n 'ɛ t ʃ
fraseig	f ɾ ə z 'ɛ t ʃ
fredeig	f ɾ ə ð 'ɛ t ʃ
fueteig	f u ə t 'ɛ t ʃ
fulleig	f u ʎ 'ɛ t ʃ
fusteig	f u s t 'ɛ t ʃ
gabieig	g ə β i 'ɛ t ʃ
gaiteig	g ə i t 'ɛ t ʃ
galleig	g ə ʎ 'ɛ t ʃ
galteig	g ə l t 'ɛ t ʃ
gambeig	g ə m b 'ɛ t ʃ
ganseig	g ə n s 'a t ʃ
garbeig	g ə r b 'ɛ t ʃ
garseig	g ə r s 'ɛ t ʃ
gatgeig	g ə d ʒ 'ɛ t ʃ
glaceig	g l ə s 'ɛ t ʃ
glopeig	g l u p 'ɛ t ʃ
gorreig	g u r 'ɛ t ʃ
graneig	g ɾ ə n 'ɛ t ʃ
grapeig	g ɾ ə p 'ɛ t ʃ
griseig	g ɾ i z 'a t ʃ
grumeig	g ɾ u m 'ɛ t ʃ
gusteig	g u s t 'ɛ t ʃ
herbeig	ə r b 'ɛ t ʃ
hosteig	u s t 'ɛ t ʃ
justeig	ʒ u s t 'ɛ t ʃ
llaneig	ʎ ə n 'ɛ t ʃ
llebeig	ʎ ə β 'ɛ t ʃ
llodrig	ʎ u ð ɾ 'i t ʃ
lloreig	ʎ u ɾ 'a t ʃ
lloteig	ʎ u t 'ɛ t ʃ
llumeig	ʎ u m 'ɛ t ʃ
magreig	m ə ɣ ɾ 'ɛ t ʃ
malveig	m ə l β 'ɛ t ʃ
manteig	m ə n 'ɛ t ʃ
marceig	m ə r s 'ɛ t ʃ
masseig	m ə s 'ɛ t ʃ
molleig	m u ʎ 'ɛ t ʃ
monroig	m u n r u 'i t ʃ
moqueig	m u k 'ɛ t ʃ
morreig	m u r 'ɛ t ʃ
nasseig	n ə s 'ɛ t ʃ
negreig	n ə ɣ ɾ 'ɛ t ʃ
nolieig	n u l i 'ɛ t ʃ
nordeig	n u r t 'ɛ t ʃ
ombreig	u m b ɾ 'ɛ t ʃ
oroneig	u ɾ u n 'ɛ t ʃ
orqueig	u r k 'ɛ t ʃ
pacteig	p ə k t 'ɛ t ʃ
palleig	p ə ʎ 'ɛ t ʃ
palmeig	p ə l m 'ɛ t ʃ
palpeig	p ə l p 'ɛ t ʃ
paltrig	p ə l t ɾ 'i t ʃ
parceig	p ə r s 'ɛ t ʃ
passeig	p ə s 'ɛ t ʃ
pedreig	p ə ð ɾ 'ɛ t ʃ
peixeig	p ə ʃ 'ɛ t ʃ
perfaig	p ə r f 'a t ʃ
perleig	p ə r l 'ɛ t ʃ
perneig	p ə r n 'ɛ t ʃ
perxeig	p ə r ʃ 'ɛ t ʃ
pfennig	p f ə n n 'i
pinxeig	p i n ʃ 'ɛ t ʃ
piuleig	p i u l 'ɛ t ʃ
planeig	p l ə n 'ɛ t ʃ
plateig	p l ə t 'ɛ t ʃ
pledeig	p l ə ð 'ɛ t ʃ
plomeig	p l u m 'ɛ t ʃ
pobleig	p u b b l 'ɛ t ʃ
pobreig	p u β ɾ 'ɛ t ʃ
polseig	p u l s 'ɛ t ʃ
polzeig	p u l z 'ɛ t ʃ
pompeig	p u m p 'ɛ t ʃ
poqueig	p u k 'ɛ t ʃ
preveig	p ɾ ə β 'ɛ t ʃ
primeig	p ɾ i m 'ɛ t ʃ
puafuig	p u ə f 'u t ʃ
pulleig	p u ʎ 'ɛ t ʃ
punteig	p u n t 'ɛ t ʃ
purneig	p u r n 'ɛ t ʃ
regleig	r ə ɣ l 'ɛ t ʃ
repluig	r ə p l 'u t ʃ
roineig	r u i n 'ɛ t ʃ
rondeig	r u n d 'ɛ t ʃ
ronseig	r u n s 'a t ʃ
roqueig	r u k 'ɛ t ʃ
rosseig	r u s 'ɛ t ʃ
rumbeig	r u m b 'ɛ t ʃ
ruqueig	r u k 'ɛ t ʃ
sabreig	s ə β ɾ 'ɛ t ʃ
sacseig	s ə k s 'ɛ t ʃ
safreig	s ə f ɾ 'ɛ t ʃ
salmeig	s ə l m 'ɛ t ʃʃ
salteig	s ə l t 'ɛ t ʃ
santeig	s ə n t 'ɛ t ʃ
saqueig	s ə k 'ɛ t ʃ
savieig	s ə β i 'ɛ t ʃ
serpeig	s ə r p 'ɛ t ʃ
serreig	s ə r 'ɛ t ʃ
sesteig	s ə s t 'ɛ t ʃ
sogueig	s u ɣ 'ɛ t ʃ
