A	'ə	 ə 
aalenià	ə ə l ə n i 'a	 ə e l ə n i 'a 
aaleniana	ə ə l ə n i 'a n ə	 ə e l ə n i 'a n ə 
aalenianes	ə ə l ə n i 'a n ə s	 ə e l ə n i 'a n ə s 
aalenians	ə ə l ə n i 'a n s	 ə e l ə n i 'a n s 
abaixareu	ə β ə ʃ ə ɾ 'ɛ w	 ə β ə ʃ ə ɾ 'ə w 
abandona	ə β ə n d 'o n ə	 ə β ə n d 'ɔ n ə 
abandonament	ə β ə n d o n ə m 'e n t	 ə β ə n d 'ɔ n ə m 'ə n t 
abandono	ə β ə n d 'o n o	 ə β ə n d 'ɔ n o 
abastament	ə β ə s t ə m 'e n t	 ə β 'a s t ə m 'ə n t 
aberrants	ə β ə r 'a n s	 ə β ə r 'a n t s 
abonament	ə β o n ə m 'e n t	 ə β 'ɔ n ə m 'ə n t 
abreviaria	ə β ɾ ə v i ə ɾ 'i ə	 ə β ɾ ə v 'i ə ɾ 'i ə 
abreviatura	ə β ɾ ə v i ə t 'u ɾ ə	 ə β ɾ ə v 'i ə t 'u ɾ ə 
absent	ə t s 'e n t	 ə t s 'ɛ n t 
absenta	ə t s 'e n t ə	 ə t s 'ɛ n t ə 
absents	ə t s 'e n s	 ə t s 'ɛ n s 
absorbent	ə t s o ɾ β 'e n t	 ə t s o ɾ β 'ə n t 
abstemis	ə p s t 'ɛ m i s	 ə t s t 'ɛ m i s 
abstenció	ə p s t ə n s i 'o	 ə t s t ə n s i 'o 
abstencions	ə p s t ə n s i 'o n s	 ə t s t ə n s i 'o n s 
abstindre	ə p s t 'i n d ɾ ə	 ə t s t 'i n d ɾ ə 
abstinguda	ə p s t i ŋ g 'u ð ə	 ə t s t 'i ŋ g 'u ð ə 
abstingudes	ə p s t i ŋ g 'u ð ə s	 ə t s t 'i ŋ g 'u ð ə s 
abstingut	ə p s t i ŋ g 'u t	 ə t s t 'i ŋ g 'u t 
abstinguts	ə p s t i ŋ g 'u t s	 ə t s t 'i ŋ g 'u t s 
abundants	ə β u n d 'a n s	 ə β u n d 'a n t s 
abundosa	ə β u n d 'o z ə	 ə β 'u n d 'ɔ z ə 
acabament	ə k ə β ə m 'e n t	 ə k 'a β ə m 'ə n t 
accadi	ə k k 'a ð i	 ə t s 'a ð i 
accent	ə t s 'e n t	 ə t s 'ɛ n t 
accident	ə t s i ð 'e n t	 ə t s i ð 'ɛ n t 
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə	 ə k l ə p ə ɾ ə ð 'ɔ ɾ ə 
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s	 ə k l ə p ə ɾ ə ð 'ɔ ɾ ə s 
aclariment	ə k l ə ɾ i m 'e n t	 ə k l 'a ɾ i m 'ə n t 
açò	ə s 'ɔ	 'a s 'ɔ 
acolliment	ə k o ʎ i m 'e n t	 ə k 'ɔ ʎ i m 'ə n t 
acomiadament	ə k o m i ə ð ə m 'e n t	 ə k o m i 'a ð ə m 'ə n t 
acompanyament	ə k o m p ə ɲ ə m 'e n t	 ə k o m p 'a ɲ ə m 'ə n t 
acostament	ə k o s t ə m 'e n t	 ə k 'ɔ s t ə m 'ə n t 
adesiara	ə ð ə z i 'a ɾ ə	 'a ð ə z i 'a ɾ ə 
adhesiu	ə ð ə z 'i w	 ə ð ə s 'i w 
adient	ə ð i 'e n t	 ə ð i 'ə n t 
adiguí	ə ð i ɣ 'i	 ə ð 'i ɣ 'i 
adjacent	ə d ʒ ə s 'e n t	 ə d ʒ ə s 'ə n t 
adoctrinament	ə ð o t t ɾ i n ə m 'e n t	 ə ð o t t ɾ 'i n ə m 'ə n t 
adolescent	ə ð o l ə t s 'e n t	 ə ð o l ə t s 'ə n t 
adolescents	ə ð o l ə t s 'e n s	 ə ð o l ə t s 'ə n t s 
adreça	ə ð ɾ 'e s ə	 ə ð ɾ 'ə s ə 
