A	'ə	ə
abaixarem	ə β ə ʃ ə ɾ 'ə m	ə β ə ʃ ə ɾ 'ɛ m
abaixem	ə β ə ʃ 'ə m	ə β ə ʃ 'ɛ m
abandonarem	ə β ə n d o n ə ɾ 'ə m	ə β ə n d o n ə ɾ 'ɛ m
abandonem	ə β ə n d o n 'ə m	ə β ə n d o n 'ɛ m
abandonis	ə β ə n d 'ɔ n i s	ə β ə n d 'o n i s
abatem	ə β ə t 'ə m	ə β ə t 'ɛ m
abordatge	ə β o ɾ ð 'a d ʒ ə	ə β o ɾ ð 'a dʒ ə
abordatges	ə β o ɾ ð 'a d ʒ ə s	ə β o ɾ ð 'a dʒ ə s
abraçarem	ə β ɾ ə s ə ɾ 'ə m	ə β ɾ ə s ə ɾ 'ɛ m
abracem	ə β ɾ ə s 'ə m	ə β ɾ ə s 'ɛ m
abreviarem	ə β ɾ ə v i ə ɾ 'ə m	ə β ɾ ə v i ə ɾ 'ɛ m
abreviem	ə β ɾ ə v i 'ə m	ə β ɾ ə v i 'ɛ m
absència	ə t s 'ɛ n s i ə	ə t s 'ə n s i ə
acabarem	ə k ə β ə ɾ 'ə m	ə k ə β ə ɾ 'ɛ m
acabem	ə k ə β 'ə m	ə k ə β 'ɛ m
acadèmic	ə k ə ð 'ɛ m i k	ə k ə ð 'ə m i k
acadèmica	ə k ə ð 'ɛ m i k ə	ə k ə ð 'ə m i k ə
acadèmics	ə k ə ð 'ɛ m i t s	ə k ə ð 'ə m i t s
acadèmiques	ə k ə ð 'ɛ m i k ə s	ə k ə ð 'ə m i k ə s
acariciarem	ə k ə ɾ i s i ə ɾ 'ə m	ə k ə ɾ i s i ə ɾ 'ɛ m
acariciem	ə k ə ɾ i s i 'ə m	ə k ə ɾ i s i 'ɛ m
acètic	ə s 'ɛ t i k	ə s 'ə t i k
acètica	ə s 'ɛ t i k ə	ə s 'ə t i k ə
acètics	ə s 'ɛ t i t s	ə s 'ə t i t s
acètiques	ə s 'ɛ t i k ə s	ə s 'ə t i k ə s
acostarem	ə k o s t ə ɾ 'ə m	ə k o s t ə ɾ 'ɛ m
acostem	ə k o s t 'ə m	ə k o s t 'ɛ m
acostumarem	ə k o s t u m ə ɾ 'ə m	ə k o s t u m ə ɾ 'ɛ m
acostumem	ə k o s t u m 'ə m	ə k o s t u m 'ɛ m
acotxador	ə k o t ʃ ə ð 'o	ə k o tʃ ə ð 'o
acotxaneta	ə k o t ʃ ə n 'ə t ə	ə k o tʃ ə n 'ə t ə
acotxar	ə k o t ʃ 'a	ə k o tʃ 'a
acreditarem	ə k ɾ ə ð i t ə ɾ 'ə m	ə k ɾ ə ð i t ə ɾ 'ɛ m
acreditem	ə k ɾ ə ð i t 'ə m	ə k ɾ ə ð i t 'ɛ m
actuarem	ə t t u ə ɾ 'ə m	ə t t u ə ɾ 'ɛ m
actuem	ə t t u 'ə m	ə t t u 'ɛ m
acudirem	ə k u ð i ɾ 'ə m	ə k u ð i ɾ 'ɛ m
acusarem	ə k u z ə ɾ 'ə m	ə k u z ə ɾ 'ɛ m
acusem	ə k u z 'ə m	ə k u z 'ɛ m
adherència	ə ð ə ɾ 'ɛ n s i ə	ə ð ə ɾ 'ə n s i ə
adherències	ə ð ə ɾ 'ɛ n s i ə s	ə ð ə ɾ 'ə n s i ə s
adjacent	ə d ʒ ə s 'e n t	ə dʒ ə s 'e n t
adjudica	ə d ʒ u ð 'i k ə	ə dʒ u ð 'i k ə
adjudicada	ə d ʒ u ð i k 'a ð ə	ə dʒ u ð i k 'a ð ə
adjudicades	ə d ʒ u ð i k 'a ð ə s	ə dʒ u ð i k 'a ð ə s
adjudicar	ə d ʒ u ð i k 'a	ə dʒ u ð i k 'a
adjudicarem	ə d ʒ u ð i k ə ɾ 'ə m	ə dʒ u ð i k ə ɾ 'ɛ m
adjudicares	ə d ʒ u ð i k 'a ɾ ə s	ə dʒ u ð i k 'a ɾ ə s
adjudicaria	ə d ʒ u ð i k ə ɾ 'i ə	ə dʒ u ð i k ə ɾ 'i ə
adjudicat	ə d ʒ u ð i k 'a t	ə dʒ u ð i k 'a t
adjudicats	ə d ʒ u ð i k 'a t s	ə dʒ u ð i k 'a t s
adjudicava	ə d ʒ u ð i k 'a v ə	ə dʒ u ð i k 'a v ə
adjudico	ə d ʒ u ð 'i k o	ə dʒ u ð 'i k o
adjudiquem	ə d ʒ u ð i k 'ə m	ə dʒ u ð i k 'ɛ m
adjudiques	ə d ʒ u ð 'i k ə s	ə dʒ u ð 'i k ə s
adjunt	ə d ʒ 'u n t	ə dʒ 'u n t
adjunta	ə d ʒ 'u n t ə	ə dʒ 'u n t ə
adjuntes	ə d ʒ 'u n t ə s	ə dʒ 'u n t ə s
adjunts	ə d ʒ 'u n s	ə dʒ 'u n t s
adjurada	ə d ʒ u ɾ 'a ð ə	ə dʒ u ɾ 'a ð ə
adjurades	ə d ʒ u ɾ 'a ð ə s	ə dʒ u ɾ 'a ð ə s
adjurar	ə d ʒ u ɾ 'a	ə dʒ u ɾ 'a
adjurat	ə d ʒ u ɾ 'a t	ə dʒ u ɾ 'a t
adjurats	ə d ʒ u ɾ 'a t s	ə dʒ u ɾ 'a t s
administrarem	ə m m i n i s t ɾ ə ɾ 'ə m	ə m m i n i s t ɾ ə ɾ 'ɛ m
administrem	ə m m i n i s t ɾ 'ə m	ə m m i n i s t ɾ 'ɛ m
adoptarem	ə ð o t t ə ɾ 'ə m	ə ð o t t ə ɾ 'ɛ m
adoptem	ə ð o t t 'ə m	ə ð o t t 'ɛ m
adorem	ə ð o ɾ 'ə m	ə ð o ɾ 'ɛ m
adscripció	ə s k ɾ i t s i 'o	ə t s k ɾ i t s i 'o
adscrit	ə s k ɾ 'i t	ə t s k ɾ 'i t
adscrita	ə s k ɾ 'i t ə	ə t s k ɾ 'i t ə
adscrites	ə s k ɾ 'i t ə s	ə t s k ɾ 'i t ə s
adscrits	ə s k ɾ 'i t s	ə t s k ɾ 'i t s
adscriure	ə s k ɾ 'i w ɾ ə	ə t s k ɾ 'i w ɾ ə
afanjs	ə f 'a j n s	ə f 'a ɲ s
afecta	ə f 'ɛ t t ə	ə f 'ə t t ə
afectarem	ə f ə t t ə ɾ 'ə m	ə f ə t t ə ɾ 'ɛ m
afecte	ə f 'ɛ t t ə	ə f 'ə t t ə
afectem	ə f ə t t 'ə m	ə f ə t t 'ɛ m
afectes	ə f 'ɛ t t ə s	ə f 'ə t t ə s
afèmic	ə f 'ɛ m i k	ə f 'ə m i k
afèmica	ə f 'ɛ m i k ə	ə f 'ə m i k ə
afèmics	ə f 'ɛ m i t s	ə f 'ə m i t s
afèmiques	ə f 'ɛ m i k ə s	ə f 'ə m i k ə s
afèresi	ə f 'ɛ ɾ ə z i	ə f 'ə ɾ ə z i
afilarem	ə f i l ə ɾ 'ə m	ə f i l ə ɾ 'ɛ m
afilem	ə f i l 'ə m	ə f i l 'ɛ m
afirmarem	ə f i ɾ m ə ɾ 'ə m	ə f i ɾ m ə ɾ 'ɛ m
afirmem	ə f i ɾ m 'ə m	ə f i ɾ m 'ɛ m
aflorarem	ə f l o ɾ ə ɾ 'ə m	ə f l o ɾ ə ɾ 'ɛ m
aflorem	ə f l o ɾ 'ə m	ə f l o ɾ 'ɛ m
aflores	ə f l 'ɔ ɾ ə s	ə f l 'o ɾ ə s
afronta	ə f ɾ 'o n t ə	ə f ɾ 'ɔ n t ə
afrontarem	ə f ɾ o n t ə ɾ 'ə m	ə f ɾ o n t ə ɾ 'ɛ m
afrontem	ə f ɾ o n t 'ə m	ə f ɾ o n t 'ɛ m
agència	ə ʒ 'ɛ n s i ə	ə ʒ 'ə n s i ə
agències	ə ʒ 'ɛ n s i ə s	ə ʒ 'ə n s i ə s
agenda	ə ʒ 'e n d ə	ə ʒ 'ə n d ə
alatxa	ə l 'a t ʃ ə	ə l 'a tʃ ə
alçament	ə l s ə m 'e n t	a l s ə m 'e n t
alçaprem	ə l s ə p ɾ 'ə m	ə l s ə p ɾ 'ɛ m
alegre	ə l 'e ɣ ɾ ə	ə l 'ə ɣ ɾ ə
alfabètic	ə l f ə β 'ɛ t i k	ə l f ə β 'ə t i k
alfabètica	ə l f ə β 'ɛ t i k ə	ə l f ə β 'ə t i k ə
alfabètics	ə l f ə β 'ɛ t i t s	ə l f ə β 'ə t i t s
alfabètiques	ə l f ə β 'ɛ t i k ə s	ə l f ə β 'ə t i k ə s
alfanumèric	ə l f ə n u m 'ɛ ɾ i k	ə l f ə n u m 'ə ɾ i k
alfanumèrica	ə l f ə n u m 'ɛ ɾ i k ə	ə l f ə n u m 'ə ɾ i k ə
alfanumèrics	ə l f ə n u m 'ɛ ɾ i t s	ə l f ə n u m 'ə ɾ i t s
alfanumèriques	ə l f ə n u m 'ɛ ɾ i k ə s	ə l f ə n u m 'ə ɾ i k ə s
algèbric	ə l ʒ 'ɛ β ɾ i k	ə l ʒ 'ə β ɾ i k
algèbrica	ə l ʒ 'ɛ β ɾ i k ə	ə l ʒ 'ə β ɾ i k ə
algèbrics	ə l ʒ 'ɛ β ɾ i t s	ə l ʒ 'ə β ɾ i t s
algèbriques	ə l ʒ 'ɛ β ɾ i k ə s	ə l ʒ 'ə β ɾ i k ə s
aliatge	ə l i 'a d ʒ ə	ə l i 'a dʒ ə
alienarem	ə l i ə n ə ɾ 'ə m	ə l i ə n ə ɾ 'ɛ m
alienem	ə l i ə n 'ə m	ə l i ə n 'ɛ m
alieni	ə l i 'ɛ n i	ə l i 'ə n i
aliment	ə l i m 'e n t	a l i m 'e n t
alimentarem	ə l i m ə n t ə ɾ 'ə m	ə l i m ə n t ə ɾ 'ɛ m
alimentem	ə l i m ə n t 'ə m	ə l i m ə n t 'ɛ m
alineament	ə l i n e ə m 'e n t	ə l i n ə ə m 'e n t
almirallessa	ə l m i ɾ ə ʎ 'ə s ə	ə l m i ɾ ə ʎ 'e s ə
