A	'ə	 ə 
aalenià	ə ə l ə n i 'a	 ə e l ə n i 'a 
aaleniana	ə ə l ə n i 'a n ə	 ə e l ə n i 'a n ə 
aalenianes	ə ə l ə n i 'a n ə s	 ə e l ə n i 'a n ə s 
aalenians	ə ə l ə n i 'a n s	 ə e l ə n i 'a n s 
abaixareu	ə β ə ʃ ə ɾ 'ɛ w	 ə β ə ʃ ə ɾ 'ə w 
abandonament	ə β ə n d o n ə m 'e n t	 ə β ə n d u n ə m 'e n t 
abandonis	ə β ə n d 'ɔ n i s	 ə β ə n d 'o n i s 
aberrants	ə β ə r 'a n s	 ə β ə r 'a n t s 
abonament	ə β o n ə m 'e n t	 ə β u n ə m 'e n t 
absents	ə t s 'e n s	 ə t s 'e n t s 
absorbent	ə t s o ɾ β 'e n t	 ə t s u ɾ β 'e n t 
abstemis	ə p s t 'ɛ m i s	 ə t s t 'ɛ m i s 
abstenció	ə p s t ə n s i 'o	 ə t s t ə n s i 'o 
abstencions	ə p s t ə n s i 'o n s	 ə t s t ə n s i 'o n s 
abstindre	ə p s t 'i n d ɾ ə	 ə t s t 'i n d ɾ ə 
abstinguda	ə p s t i ŋ g 'u ð ə	 ə t s t i ŋ g 'u ð ə 
abstingudes	ə p s t i ŋ g 'u ð ə s	 ə t s t i ŋ g 'u ð ə s 
abstingut	ə p s t i ŋ g 'u t	 ə t s t i ŋ g 'u t 
abstinguts	ə p s t i ŋ g 'u t s	 ə t s t i ŋ g 'u t s 
abundants	ə β u n d 'a n s	 ə β u n d 'a n t s 
accadi	ə k k 'a ð i	 ə t s 'a ð i 
açò	ə s 'ɔ	 a s 'ɔ 
acolliment	ə k o ʎ i m 'e n t	 ə k u ʎ i m 'e n t 
acomiadament	ə k o m i ə ð ə m 'e n t	 ə k u m i ə ð ə m 'e n t 
acompanyament	ə k o m p ə ɲ ə m 'e n t	 ə k u m p ə ɲ ə m 'e n t 
acostament	ə k o s t ə m 'e n t	 ə k u s t ə m 'e n t 
adesiara	ə ð ə z i 'a ɾ ə	 a ð ə z i 'a ɾ ə 
adhesiu	ə ð ə z 'i w	 ə ð ə s 'i w 
adoctrinament	ə ð o t t ɾ i n ə m 'e n t	 ə ð u t t ɾ i n ə m 'e n t 
adolescent	ə ð o l ə t s 'e n t	 ə ð o l ə s k 'e n t 
adolescents	ə ð o l ə t s 'e n s	 ə ð o l ə s k 'e n t s 
adscripció	ə s k ɾ i t s i 'o	 ə t s k ɾ i t s i 'o 
adscrit	ə s k ɾ 'i t	 ə t s k ɾ 'i t 
adscrita	ə s k ɾ 'i t ə	 ə t s k ɾ 'i t ə 
adscrites	ə s k ɾ 'i t ə s	 ə t s k ɾ 'i t ə s 
adscrits	ə s k ɾ 'i t s	 ə t s k ɾ 'i t s 
adscriure	ə s k ɾ 'i w ɾ ə	 ə t s k ɾ 'i w ɾ ə 
adults	ə ð 'u l s	 ə ð 'u l t s 
afaitada	ə f ə j t 'a ð ə	 ə f ə i t 'a ð ə 
afaitades	ə f ə j t 'a ð ə s	 ə f ə i t 'a ð ə s 
afaitar	ə f ə j t 'a	 ə f ə i t 'a 
afaitat	ə f ə j t 'a t	 ə f ə i t 'a t 
afaitats	ə f ə j t 'a t s	 ə f ə i t 'a t s 
afectuosa	ə f ə t t u 'o z ə	 ə f ə t t u 'o s ə 
afectuoses	ə f ə t t u 'o z ə s	 ə f ə t t u 'o s ə s 
Afganistan	ə v ɣ ə n i s t 'a n	 ə f ɣ ə n i s t 'a n 
aflores	ə f l 'ɔ ɾ ə s	 ə f l 'o ɾ ə s 
afronta	ə f ɾ 'o n t ə	 ə f ɾ 'ɔ n t ə 
agenda	ə ʒ 'e n d ə	 ə ʒ 'ɛ n d ə 
aidada	ə j ð 'a ð ə	 ə i ð 'a ð ə 
aidades	ə j ð 'a ð ə s	 ə i ð 'a ð ə s 
aidant	ə j ð 'a n t	 ə i ð 'a n t 
