A	'ə	ə
aalenià	ə ə l ə n i 'a	ə e l ə n i 'a
aaleniana	ə ə l ə n i 'a n ə	ə e l ə n i 'a n ə
aalenianes	ə ə l ə n i 'a n ə s	ə e l ə n i 'a n ə s
aalenians	ə ə l ə n i 'a n s	ə e l ə n i 'a n s
abandonis	ə β ə n d 'ɔ n i s	ə β ə n d 'o n i s
accadi	ə k k 'a ð i	ə t s 'a ð i
açò	ə s 'ɔ	a s 'ɔ
aconseguits	ə k o n s ə ɣ 'i t s	ə k o n s ə ɣ 'i s
adesiara	ə ð ə z i 'a ɾ ə	a ð ə z i 'a ɾ ə
adscripció	ə s k ɾ i t s i 'o	ə t s k ɾ i t s i 'o
adscrites	ə  t s k ɾ 'i t ə s	ə t s k ɾ 'i t ə s
afectuoses	ə f ə t t u 'o z ə s	ə f ə t t u 'o s ə s
Afganistan	ə v ɣ ə n i s t 'a n	ə f ɣ ə n i s t 'a n
aflores	ə f l 'ɔ ɾ ə s	ə f l 'o ɾ ə s
afrodisíac	ə f ɾ o ð i z 'i ə k	ə f ɾ o ð i s 'i ə k
afronta	ə f ɾ 'o n t ə	ə f ɾ 'ɔ n t ə
agafamosquits	ə ɣ ə f ə m o s k 'i t s	ə ɣ ə f ə m o s k 'i s
agraïts	ə ɣ ɾ ə 'i t s	ə ɣ ɾ ə 'i s
agúen	ə ɣ 'u ə n	ə ɣ ə n
agúes	ə ɣ 'u ə s	ə ɣ ə s
albeca	ə l β 'ɛ k ə	ə l β 'ə k ə
àlber	'a l β ə	'a l β e 
alçament	ə l s ə m 'e n t	a l s ə m 'e n t
alcohol	ə l k o 'ɔ l	ə l k o 'a l
aleatori	ə l e ə t 'ɔ ɾ i	ə l ə ə t 'ɔ ɾ i
alegre	ə l 'e ɣ ɾ ə	ə l 'ə ɣ ɾ ə
algebraic	ə l ʒ ə β ɾ 'a j k	ə l ʒ ə β ɾ 'a i k
aliment	ə l i m 'e n t	a l i m 'e n t
alineada	ə l i n e 'a ð ə	ə l i n ə 'a ð ə
alineament	ə l i n e ə m 'e n t	ə l i n ə ə m 'e n t
alinear	ə l i n e 'a	ə l i n ə 'a
alineat	ə l i n e 'a t	ə l i n ə 'a t
alineats	ə l i n e 'a t s	ə l i n ə 'a t s
almirallessa	ə l m i ɾ ə ʎ 'ə s ə	ə l m i ɾ ə ʎ 'e s ə
Altai	ə l t 'a j	ə l t 'a i
altaic	ə l t 'a j k	ə l t 'a i k
altea	ə l t 'ɛ ə	ə l t 'e ə
altrament	ə l t ɾ ə m 'e n t	a l t ɾ ə m 'e n t
amants	ə m 'a n s	ə m 'a n t s
amarg	ə m 'a ɾ k	ə m 'a ɾ ə
ambigu	ə m b 'i ɣ u	ə m b 'i ɣ
ambigú	ə m b i ɣ 'u	ə m b 'i tʃ
amistoses	ə m i s t 'o z ə s	ə m i s t 'o s ə s
ampolla	ə m p 'o ʎ ə	ə m p 'ɔ ʎ ə
anàrquica	ə n 'a ɾ k i k ə	ə n ə ɾ k 'i k ə
anàrquics	ə n 'a ɾ k i t s	ə n ə ɾ k 'i t s
Andreu	ə n d ɾ 'e w	ə n d ɾ 'ɛ w
àngels	'a n ʒ ə l s	a n ʒ 'ɛ l s
Àngels	'a n ʒ ə l s	a n ʒ 'ɛ l s
Ànglia	'a ŋ g l i ə	a ŋ g l 'i ə
angloamericà	ə ŋ g l o ə m ə ɾ i k 'a	ə ŋ g l o e m ə ɾ i k 'a
angoixa	ə ŋ g 'o ʃ ə	ə ŋ g o 'i ʃ ə
angoixada	ə ŋ g o ʃ 'a ð ə	ə ŋ g o i ʃ 'a ð ə
angoixades	ə ŋ g o ʃ 'a ð ə s	ə ŋ g o i ʃ 'a ð ə s
angoixant	ə ŋ g o ʃ 'a n t	ə ŋ g o i ʃ 'a n t
angoixar	ə ŋ g o ʃ 'a	ə ŋ g o i ʃ 'a
