A	'ə	ə
abadessa	ə β ə ð 'ɛ s ə	ə β ə ð 'e s ə
abandonis	ə β ə n d 'ɔ n i s	ə β ə n d 'o n i s
abdomen	ə b d 'o m ə n	ə b d 'ɔ m ə n
abell	ə β 'ɛ ʎ	ə β 'e ʎ
abella	ə β 'ɛ ʎ ə	ə β 'e ʎ ə
Abella	ə β 'ɛ ʎ ə	ə β 'e ʎ ə
abelles	ə β 'ɛ ʎ ə s	ə β 'e ʎ ə s
ablació	ə β l ə s i 'o	ə b b l ə s i 'o
absolt	ə p s 'ɔ l t	ə p s 'o l t
absurd	ə p s 'u r t	ə p s 'u r
acer	ə s 'e r	ə s 'e
acord	ə k 'ɔ r t	ə k 'o r t
Açores	ə s 'ɔ ɾ ə s	ə s 'o ɾ ə s
adscripció	ə t s k ɾ i p s i 'o	ə ts k ɾ i p s i 'o
adscrit	ə t s k ɾ 'i t	ə ts k ɾ 'i t
adscrita	ə t s k ɾ 'i t ə	ə ts k ɾ 'i t ə
adscrites	ə t s k ɾ 'i t ə s	ə ts k ɾ 'i t ə s
adscrits	ə t s k ɾ 'i t s	ə ts k ɾ 'i t s
adscriure	ə t s k ɾ 'i w ɾ ə	ə ts k ɾ 'i w ɾ ə
adúlter	ə ð 'u l t ə r	ə ð 'u l t ə
advers	ə d b 'ɛ r s	ə d b 'e s
afecta	ə f 'e k t ə	ə f 'ɛ k t ə
afecte	ə f 'e k t ə	ə f 'ɛ k t ə
afectes	ə f 'e k t ə s	ə f 'ɛ k t ə s
afer	ə f 'e r	ə f 'e
aflora	ə f l 'ɔ ɾ ə	ə f l 'o ɾ ə
aflores	ə f l 'ɔ ɾ ə s	ə f l 'o ɾ ə s
afores	ə f 'ɔ ɾ ə s	ə f 'o ɾ ə s
afronta	ə f ɾ 'o n t ə	ə f ɾ 'ɔ n t ə
agenda	ə ʒ 'e n d ə	ə ʒ 'ɛ n d ə
aiguabarreig	ə j ɣ w ə β ə r 'ɛ t ʃ	ə j ɣ w ə β ə r 'ɛ tʃ
aiguafort	ə j ɣ w ə f 'ɔ r t	ə j ɣ w ə f 'o r t
aiguaneu	ə j ɣ w ə n 'e w	ə j ɣ w ə n 'ɛ w
al	'ə l	ə l
alcaldessa	ə l k ə l d 'ɛ s ə	ə l k ə l d 'e s ə
alçament	ə l s ə m 'e n	a l s ə m 'e n
Alcàsser	ə l k 'a s ə r	ə l k 'a s ə
alcàsser	ə l k 'a s ə r	ə l k 'a s ə
alegre	ə l 'e ɣ ɾ ə	ə l 'ɛ ɣ ɾ ə
aleshores	ə l ə z 'ɔ ɾ ə s	ə l ə z i 'o ɾ ə s
aleteig	ə l ə t 'ɛ t ʃ	ə l ə t 'ɛ tʃ
àlgid	'a l ʒ i t	'a l ʒ i ð
alhora	ə l 'ɔ ɾ ə	ə l i 'o ɾ ə
aliment	ə l i m 'e n	a l i m 'e n
alimenti	ə l i m 'e n t i	ə l i m 'ɛ n t i
alineament	ə l i n e ə m 'e n	ə l i n ə ə m 'e n
almirallessa	ə l m i ɾ ə ʎ 'ɛ s ə	ə l m i ɾ ə ʎ 'e s ə
alosa	ə l 'ɔ z ə	ə l 'o z ə
altrament	ə l t ɾ ə m 'e n	a l t ɾ ə m 'e n
amarg	ə m 'a r k	ə m 'a r
ambdós	ə m d 'o s	ə m b d 'o s
ambdues	ə m d 'u ə s	ə m b d 'u ə s
ambigu	ə m b 'i ɣ u	ə m b 'i ɣ
amens	ə m 'ɛ n s	ə m 'e n s
amor	ə m 'o r	ə m 'o
ampolla	ə m p 'o ʎ ə	ə m p 'ɔ ʎ ə
Andreu	ə n d ɾ 'e w	ə n d ɾ 'ɛ w
aniquilar	ə n i k i l 'a	ə n i k i ʎ 'a
anterior	ə n t ə ɾ i 'o r	ə n t ə ɾ i 'o
antimoni	ə n t i m 'ɔ n i	ə n t i m 'o n i
Antoni	ə n t 'ɔ n i	ə n t 'o n i
Anvers	ə m b 'ɛ r s	ə m b 'e s
anvers	ə m b 'ɛ r s	ə m b 'e s
aparell	ə p ə ɾ 'ɛ ʎ	ə p ə ɾ 'e ʎ
aparentment	ə p ə ɾ ə m m 'e n	ə p ə ɾ ə n m 'e n
apèndix	ə p 'ɛ n d i k s	ə p 'ɛ n d ʃ
aquell	ə k 'ɛ ʎ	ə k 'e ʎ
aquest	ə k 'ɛ t	ə k 'ɛ s t
aqüífer	ə k w 'i f ə r	ə k w 'i f ə
arbre	'a β ɾ ə	'a ɾ β ɾ ə
arbres	'a β ɾ ə s	'a ɾ β ɾ ə s
armament	ə r m ə m 'e n	a r m ə m 'e n
arqueig	ə r k 'ɛ t ʃ	ə r k 'ɛ tʃ
Artur	ə r t 'u r	ə r t 'u
arxiduquessa	ə r ʃ i ð u k 'ɛ s ə	ə r ʃ i ð u k 'e s ə
asimètric	ə s i m 'ɛ t ɾ i k	ə z i m 'ɛ t ɾ i k
assaig	ə s 'a t ʃ	ə s 'a tʃ
asseure's	ə s 'ɛ w ɾ ə s	ə s ə w ɾ 'ɛ s
atendre	ə t 'e n d ɾ ə	ə t 'ɛ n d ɾ ə
ateu	ə t 'e w	ə t 'ɛ w
atlàntic	ə l l 'a n t i k	ə ʎ 'a n t i k
atles	'a l l ə s	'a t l ə s
Atles	'a l l ə s	'a t l ə s
atleta	ə l l 'ɛ t ə	ə ʎ 'ɛ t ə
atlètic	ə l l 'ɛ t i k	ə t l 'ɛ t i k
atot	ə t 'o t	ə t 'ɔ t
atret	ə t ɾ 'e t	ə t ɾ 'ɛ t
atrets	ə t ɾ 'e t s	ə t ɾ 'ɛ t s
atroç	ə t ɾ 'ɔ s	ə t ɾ 'o s
atur	ə t 'u r	ə t 'u
atzar	ə d z 'a r	ə d z 'a
auster	ə w s t 'e r	ə w s t 'e
autocar	ə w t u k 'a r	ə w t u k 'a
autoretrat	ə w t u r ə t ɾ 'a t	ə w t u ɾ ə t ɾ 'a t
autoretrats	ə w t u r ə t ɾ 'a t s	ə w t u ɾ ə t ɾ 'a t s
avantbraç	ə β ə m b ɾ 'a s	ə β ə n b ɾ 'a s
avantpassat	ə β ə m p ə s 'a t	ə β ə n p ə s 'a t
avantpassats	ə β ə m p ə s 'a t s	ə β ə n p ə s 'a t s
avar	ə β 'a r	ə β 'a
babiloni	b ə β i l 'ɔ n i	b ə β i l 'o n i
balbuceig	b ə l β u s 'ɛ t ʃ	b ə l β u s 'ɛ tʃ
balear	b ə l e 'a r	b ə l e 'a
balears	b ə l e 'a r s	b ə l e 'a s
Balears	b ə l e 'a r s	b ə l e 'a s
baluard	b ə l u 'a r t	b ə l u 'a r
banc	b 'a ŋ	b 'a ŋ k
bancs	b 'a ŋ s	b 'a ŋ k s
bar	b 'a r	b 'a
baronessa	b ə ɾ u n 'ɛ s ə	b ə ɾ u n 'e s ə
barreig	b ə r 'ɛ t ʃ	b ə r 'ɛ tʃ
bastard	b ə s t 'a r t	b ə s t 'a r
bateig	b ə t 'ɛ t ʃ	b ə t 'ɛ tʃ
be	b 'e	b 'ɛ
beix	b 'e ʃ	b 'ɛ ʃ
Belgrad	b ə l ɣ ɾ 'a t	b ə l ɣ ɾ 'a ð
bellugueig	b ə ʎ u ɣ 'ɛ t ʃ	b ə ʎ u ɣ 'ɛ tʃ
bemoll	b ə m 'ɔ ʎ	b ə m 'o ʎ
ben	b 'e n	b 'ɛ n
bes	b 'e s	b 'ɛ s
besnebot	b ə z n ə β 'o t	b ə z n ə β 'ɔ t
beso	b 'e z u	b 'ɛ z u
Bigorra	b i ɣ 'ɔ r ə	b i ɣ 'o r ə
billar	b i ʎ 'a r	b i ʎ 'a
bioma	b i 'ɔ m ə	b i 'o m ə
bipolar	b i p u l 'a r	b i p u l 'a
blanqueig	b l ə ŋ k 'ɛ t ʃ	b l ə ŋ k 'ɛ tʃ
blens	b l 'ɛ n s	b l 'e n s
bloqueig	b l u k 'ɛ t ʃ	b l u k 'ɛ tʃ
bo	b 'ɔ	b 'o
boa	b 'ɔ ə	b 'o ə
boc	b 'o k	b 'ɔ k
boca	b 'o k ə	b 'ɔ k ə
bocs	b 'o k s	b 'ɔ k s
boda	b 'o ð ə	b 'ɔ ð ə
bodes	b 'o ð ə s	b 'ɔ ð ə s
boes	b 'ɔ ə s	b 'o ə s
boga	b 'o ɣ ə	b 'ɔ ɣ ə
boig	b 'ɔ t ʃ	b 'ɔ tʃ
boirina	b u j ɾ 'i n ə	b u i ɾ 'i n ə
bolca	b 'o l k ə	b 'ɔ l k ə
bolquen	b 'o l k ə n	b 'ɔ l k ə n
bomba	b 'o m b ə	b 'ɔ m b ə
bombes	b 'o m b ə s	b 'ɔ m b ə s
bombo	b 'o m b u	b 'ɔ m b u
bombolla	b u m b 'o ʎ ə	b u m b 'ɔ ʎ ə
bon	b 'ɔ n	b 'o n
bona	b 'ɔ n ə	b 'o n ə
bones	b 'ɔ n ə s	b 'o n ə s
bons	b 'ɔ n s	b 'o n s
bonze	b 'ɔ n z ə	b 'o n z ə
bonzessa	b u n z 'ɛ s ə	b u n z 'e s ə
boques	b 'o k ə s	b 'ɔ k ə s
bord	b 'o r t	b 'o ɾ ð
