Aaró	a a ɾ 'o
ababol	a β a β 'o l
àbac	'a β a k
abacà	a β a k 'a
abacàs	a β a k 'a s
àbacs	'a β a k s
abadejo	a β a ð 'e ʒ o
abadessa	a β a ð 'e s a
abadia	a β a ð 'i a
abadies	a β a ð 'i e s
abadocar	a β a ð o k 'a
abaixa	a β 'a j ʃ a
abaixà	a β a j ʃ 'a
abaixada	a β a j ʃ 'a ð a
abaixades	a β a j ʃ 'a ð e s
abaixant	a β a j ʃ 'a n
abaixar	a β a j ʃ 'a
abaixarà	a β a j ʃ a ɾ 'a
abaixaran	a β a j ʃ a ɾ 'a n
abaixaràs	a β a j ʃ a ɾ 'a s
abaixaré	a β a j ʃ a ɾ 'e
abaixàrem	a β a j ʃ 'a ɾ e m
abaixaren	a β a j ʃ 'a ɾ e n
abaixares	a β a j ʃ 'a ɾ e s
abaixaria	a β a j ʃ a ɾ 'i a
abaixaríem	a β a j ʃ a ɾ 'i e m
abaixarien	a β a j ʃ a ɾ 'i e n
abaixaries	a β a j ʃ a ɾ 'i e s
abaixat	a β a j ʃ 'a t
abaixats	a β a j ʃ 'a t s
abaixava	a β a j ʃ 'a β a
abaixàvem	a β a j ʃ 'a β e m
abaixaven	a β a j ʃ 'a β e n
abaixaves	a β a j ʃ 'a β e s
abaixen	a β 'a j ʃ e n
abaixes	a β 'a j ʃ e s
abaixés	a β a j ʃ 'e s
abaixéssim	a β a j ʃ 'e s i m
abaixi	a β 'a j ʃ i
abaixí	a β a j ʃ 'i
abaixin	a β 'a j ʃ i n
abaixis	a β 'a j ʃ i s
abaixo	a β 'a j ʃ o
abaltida	a β a l t 'i ð a
abaltides	a β a l t 'i ð e s
abaltir	a β a l t 'i
abaltit	a β a l t 'i t
abaltits	a β a l t 'i t s
abanderada	a β a n d e ɾ 'a ð a
abanderades	a β a n d e ɾ 'a ð e s
abanderar	a β a n d e ɾ 'a
abanderares	a β a n d e ɾ 'a ɾ e s
abanderat	a β a n d e ɾ 'a t
abanderats	a β a n d e ɾ 'a t s
abanderés	a β a n d e ɾ 'e s
abandó	a β a n d 'o
abandona	a β a n d 'o n a
abandonada	a β a n d o n 'a ð a
abandonades	a β a n d o n 'a ð e s
abandonament	a β a n d o n a m 'e n
abandonar	a β a n d o n 'a
abandonàrem	a β a n d o n 'a ɾ e m
abandonares	a β a n d o n 'a ɾ e s
abandonaria	a β a n d o n a ɾ 'i a
abandonat	a β a n d o n 'a t
abandonats	a β a n d o n 'a t s
abandonava	a β a n d o n 'a β a
abandonem	a β a n d o n 'e m
abandonis	a β a n d 'ɔ n i s
abandono	a β a n d 'o n o
abans	a β 'a n s
abaratir	a β a ɾ a t 'i
abarrotar	a β a r o t 'a
abassegar	a β a s e ɣ 'a
abast	a β 'a s t
abasta	a β 'a s t a
abastable	a β a s t 'a β l e
abastables	a β a s t 'a β l e s
abastada	a β a s t 'a ð a
abastades	a β a s t 'a ð e s
abastament	a β a s t a m 'e n
abastar	a β a s t 'a
abastàrem	a β a s t 'a ɾ e m
abastares	a β a s t 'a ɾ e s
abastaria	a β a s t a ɾ 'i a
abastat	a β a s t 'a t
abastats	a β a s t 'a t s
abastava	a β a s t 'a β a
abastàvem	a β a s t 'a β e m
abastes	a β 'a s t e s
abastés	a β a s t 'e s
abastéssim	a β a s t 'e s i m
abastí	a β a s t 'i
abasto	a β 'a s t o
abastos	a β 'a s t o s
abat	a β 'a t
abati	a β 'a t i
abatia	a β a t 'i a
abatis	a β 'a t i s
abato	a β 'a t o
abatre	a β 'a t ɾ e
abats	a β 'a t s
abatuda	a β a t 'u ð a
abatudes	a β a t 'u ð e s
abatut	a β a t 'u t
abatuts	a β a t 'u t s
abdica	a b d 'i k a
abdicada	a b d i k 'a ð a
abdicades	a b d i k 'a ð e s
abdicant	a b d i k 'a n
abdicar	a b d i k 'a
abdicarà	a b d i k a ɾ 'a
abdicaràs	a b d i k a ɾ 'a s
abdicaré	a b d i k a ɾ 'e
abdicàrem	a b d i k 'a ɾ e m
abdicares	a b d i k 'a ɾ e s
abdicaria	a b d i k a ɾ 'i a
abdicat	a b d i k 'a t
abdicativa	a b d i k a t 'i β a
abdicatives	a b d i k a t 'i β e s
abdicats	a b d i k 'a t s
abdicava	a b d i k 'a β a
abdicàvem	a b d i k 'a β e m
abdicaves	a b d i k 'a β e s
abdico	a b d 'i k o
abdiques	a b d 'i k e s
abdomen	a b d 'o m e n
abdominal	a b d o m i n 'a l
abdominals	a b d o m i n 'a l s
abduïda	a b d u 'i ð a
abduïdes	a b d u 'i ð e s
abduir	a b d u 'i
abduït	a b d u 'i t
abduïts	a b d u 'i t s
abecé	a β e s 'e
abecedari	a β e s e ð 'a ɾ i
abecedaris	a β e s e ð 'a ɾ i s
abecés	a β e s 'e s
abella	a β 'e ʎ a
Abella	a β 'e ʎ a
abellaire	a β e ʎ 'a j ɾ e
abellar	a β e ʎ 'a
abellerol	a β e ʎ e ɾ 'o l
abelles	a β 'e ʎ e s
abellir	a β e ʎ 'i
aberrant	a β e r 'a n
aberrants	a β e r 'a n s
aberrar	a β e r 'a
abís	a β 'i s
abismals	a β i z m 'a l s
abismar	a β i z m 'a
abisme	a β 'i z m e
abissal	a β i s 'a l
abissals	a β i s 'a l s
ablanir	a β l a n 'i
abocada	a β o k 'a ð a
abocades	a β o k 'a ð e s
abocar	a β o k 'a
abocat	a β o k 'a t
abocats	a β o k 'a t s
abolida	a β o l 'i ð a
abolides	a β o l 'i ð e s
abolir	a β o l 'i
abolit	a β o l 'i t
abolits	a β o l 'i t s
