A	'a	 a 
abadessa	a β a ð 'e s a	 a β 'a ð 'ɛ s a 
abandona	a β a n d 'o n a	 a β a n d 'ɔ n a 
abandonament	a β a n d o n a m 'e n t	 a β a n d 'ɔ n a m 'ɛ n t 
abandonem	a β a n d o n 'e m	 a β a n d o n 'ɛ m 
abandono	a β a n d 'o n o	 a β a n d 'ɔ n o 
abastament	a β a s t a m 'e n t	 a β 'a s t a m 'ɛ n t 
abdomen	a b d 'o m e n	 a b d 'ɔ m e n 
abduir	a b d w 'i ɾ	 a b d u 'i ɾ 
abella	a β 'e ʎ a	 a β 'ɛ ʎ a 
Abella	a β 'e ʎ a	 a β 'ɛ ʎ a 
abelles	a β 'e ʎ e s	 a β 'ɛ ʎ e s 
abonament	a β o n a m 'e n t	 a β 'ɔ n a m 'ɛ n t 
Abraham	a β ɾ a 'a m	 a β ɾ a 'ɛ m 
absent	a p s 'e n t	 a p s 'ɛ n t 
absenta	a p s 'e n t a	 a p s 'ɛ n t a 
absents	a p s 'e n s	 a p s 'ɛ n t s 
absolt	a p s 'ɔ l t	 a p s 'o l t 
absolts	a p s 'ɔ l s	 a p s 'o l t s 
abstinguda	a p s t i ŋ g 'u ð a	 a p s t 'i ŋ g 'u ð a 
abstingudes	a p s t i ŋ g 'u ð e s	 a p s t 'i ŋ g 'u ð e s 
abstingut	a p s t i ŋ g 'u t	 a p s t 'i ŋ g 'u t 
abstinguts	a p s t i ŋ g 'u t s	 a p s t 'i ŋ g 'u t s 
abundosa	a β u n d 'o z a	 a β 'u n d 'ɔ z a 
acabament	a k a β a m 'e n t	 a k 'a β a m 'ɛ n t 
acabarem	a k a β a ɾ 'e m	 a k a β a ɾ 'ɛ m 
acabem	a k a β 'e m	 a k a β 'ɛ m 
acariciem	a k a ɾ i s i 'ɛ m	 a k a ɾ i s 'i 'ɛ m 
accent	a k s 'e n t	 a k s 'ɛ n t 
accident	a k s i ð 'e n t	 a k s i ð 'ɛ n t 
acer	a s 'e ɾ	 a s 'ɛ ɾ 
aclaparadora	a k l a p a ɾ a ð 'o ɾ a	 a k l a p a ɾ a ð 'ɔ ɾ a 
aclaparadores	a k l a p a ɾ a ð 'o ɾ e s	 a k l a p a ɾ a ð 'ɔ ɾ e s 
aclariment	a k l a ɾ i m 'e n t	 a k l 'a ɾ i m 'ɛ n t 
acolliment	a k o ʎ i m 'e n t	 a k 'ɔ ʎ i m 'ɛ n t 
acomiadament	a k o m i a ð a m 'e n t	 a k o m i 'a ð a m 'ɛ n t 
acompanyament	a k o m p a ɲ a m 'e n t	 a k o m p 'a ɲ a m 'ɛ n t 
aconseguida	a k o n s e ɣ 'i ð a	 a k o n s e ɣ u 'i ð a 
aconseguides	a k o n s e ɣ 'i ð e s	 a k o n s e ɣ u 'i ð e s 
acorda	a k 'o ɾ ð a	 a k 'ɔ ɾ ð a 
acostament	a k o s t a m 'e n t	 a k 'ɔ s t a m 'ɛ n t 
acostem	a k o s t 'e m	 a k o s t 'ɛ m 
acostumem	a k o s t u m 'e m	 a k o s t u m 'ɛ m 
actuarem	a k t u a ɾ 'e m	 a k t u a ɾ 'ɛ m 
actuem	a k t u 'e m	 a k t 'u 'ɛ m 
adduir	a d d w 'i ɾ	 a d d u 'i ɾ 
Adelaida	a ð e l 'a j ð a	 a ð e l 'a 'i ð a 
adient	a ð i 'e n t	 a ð i 'ɛ n t 
adius	a ð 'i w s	 a ð 'i 'u s 
admesa	a d m 'e z a	 a d m 'ɛ z a 
admeses	a d m 'e z e s	 a d m 'ɛ z e s 
admesos	a d m 'e z o s	 a d m 'ɛ z o s 
admetre	a d m 'e t ɾ e	 a d m 'ɛ t ɾ e 
adoctrinament	a ð o k t ɾ i n a m 'e n t	 a ð o k t ɾ 'i n a m 'ɛ n t 
adolescent	a ð o l e s 'e n t	 a ð 'o l e s 'ɛ n t 
adolescents	a ð o l e s 'e n s	 a ð 'o l e s 'ɛ n t s 
adoptem	a ð o p t 'e m	 a ð 'o p t 'ɛ m 
adreça	a ð ɾ 'e s a	 a ð ɾ 'ɛ s a 
adreces	a ð ɾ 'e s e s	 a ð ɾ 'ɛ s e s 
adúltera	a ð 'u l t e ɾ a	 a ð 'u l t 'e ɾ a 
adulteri	a ð u l t 'ɛ ɾ i	 a ð 'u l t 'ɛ ɾ i 
adults	a ð 'u l s	 a ð 'u l t s 
adveniment	a d v e n i m 'e n t	 a d v 'ɛ n i m 'ɛ n t 
advertiment	a d v e ɾ t i m 'e n t	 a d v 'ɛ ɾ t i m 'ɛ n t 
aeroclub	a e ɾ o k l 'u p	 a e ɾ 'ɔ k l 'u p 
aeroport	a e ɾ o p 'ɔ ɾ t	 a e ɾ o p 'o ɾ t 
aerosol	a e ɾ o z 'o l	 a 'e ɾ o z 'o l 
afaiçonar	a f a j s o n 'a ɾ	 a f 'a j s o n 'a ɾ 
afaitada	a f a j t 'a ð a	 a f a i t 'a ð a 
afaitades	a f a j t 'a ð e s	 a f a i t 'a ð e s 
afaitar	a f a j t 'a ɾ	 a f a i t 'a ɾ 
afaitat	a f a j t 'a t	 a f a i t 'a t 
afaitats	a f a j t 'a t s	 a f a i t 'a t s 
afectuosa	a f e k t u 'o z a	 a f e k t u 'ɔ z a 
afectuoses	a f e k t u 'o z e s	 a f e k t u 'ɔ s e s 
afectuosos	a f e k t u 'o z o s	 a f e k t u 'ɔ z o s 
afer	a f 'e ɾ	 a f 'ɛ ɾ 
Afganistan	a v ɣ a n i s t 'a n	 a f ɣ a n i s t 'a n 
afiliació	a f i l i a s i 'o	 a f i l 'i a s i 'o 
afirmació	a f i ɾ m a s i 'o	 a f 'i ɾ m a s i 'o 
afirmacions	a f i ɾ m a s i 'o n s	 a f 'i ɾ m a s i 'o n s 
afirmaria	a f i ɾ m a ɾ 'i a	 a f 'i ɾ m a ɾ 'i a 
afirmatiu	a f i ɾ m a t 'i w	 a f 'i ɾ m a t 'i w 
afirmatius	a f i ɾ m a t 'i w s	 a f 'i ɾ m a t 'i w s 
afirmativa	a f i ɾ m a t 'i v a	 a f 'i ɾ m a t 'i v a 
afirmatives	a f i ɾ m a t 'i v e s	 a f 'i ɾ m a t 'i v e s 
afirmem	a f i ɾ m 'e m	 a f i ɾ m 'ɛ m 
afluent	a f l u 'e n t	 a f l u 'ɛ n t 
afrikaans	a f ɾ i k a 'a n s	 a f ɾ i k 'a 'a n s 
afronta	a f ɾ 'o n t a	 a f ɾ 'ɔ n t a 
afrontem	a f ɾ o n t 'e m	 a f ɾ o n t 'ɛ m 
afusellament	a f u z e ʎ a m 'e n t	 a f u z 'ɛ ʎ a m 'ɛ n t 
agenda	a d ʒ 'e n d a	 a d ʒ 'ɛ n d a 
agent	a d ʒ 'e n t	 a d ʒ 'ɛ n t 
agents	a d ʒ 'e n s	 a d ʒ 'ɛ n t s 
agermanament	a d ʒ e ɾ m a n a m 'e n t	 a d ʒ e ɾ m 'a n a m 'ɛ n t 
agraïment	a ɣ ɾ a i m 'e n t	 a ɣ ɾ 'a i m 'ɛ n t 
agricultura	a ɣ ɾ i k u l t 'u ɾ a	 a ɣ ɾ i k 'u l t 'u ɾ a 
agudesa	a ɣ u ð 'e z a	 a ɣ 'u ð 'ɛ z a 
agullat	a ɣ u ʎ 'a t	 a ɣ 'u ʎ 'a t 
ai	'a j	 'a i 
Àiax	'a j a k s	 'a j 'a k s 
aidada	a j ð 'a ð a	 a i ð 'a ð a 
aidades	a j ð 'a ð e s	 a i ð 'a ð e s 
aidant	a j ð 'a n t	 a i ð 'a n t 
aidar	a j ð 'a ɾ	 a i ð 'a ɾ 
aidat	a j ð 'a t	 a i ð 'a t 
aidats	a j ð 'a t s	 a i ð 'a t s 
aïllacionista	a i ʎ a s i o n 'i s t a	 a 'i ʎ a s i o n 'i s t a 
aïllament	a i ʎ a m 'e n t	 a 'i ʎ a m 'ɛ n t 
aixecament	a j ʃ e k a m 'e n t	 a j ʃ 'ɛ k a m 'ɛ n t 
aixella	a j ʃ 'e ʎ a	 a j ʃ 'ɛ ʎ a 
aixeta	a j ʃ 'e t a	 a j ʃ 'ɛ t a 
aixopluc	a j ʃ o p l 'u k	 a j ʃ 'o p l 'u k 
